CODIGO,AÑO,NOMBRE DEL INTERCAMBIO,EJE TEMATICO,ODS PRINCIPAL,ORIGEN COOPERANTE,COOPERANTE PRINCIPAL,OBJETIVO,BUENA PRACTICA,TERRITORIO BUENA PRACTICA
COL001,2016,Fortalecimiento de juntas de acción comunal,Participación política y sociedad civil,"16: Paz, justicia e instituciones solidas",Estados Unidos,USAID,,,
COL002,2016,Desarrollo alternativo Organizaciones campesinas y asociaciones beneficiarias de Programas de Desarrollo Alternativo del Departamento de Putumayo,Agropecuario,8: Trabajo decente y crecimiento económico,Estados Unidos,USAID,,,
COL003,2016,Reconversión de sistemas productivos y Ganadería sostenible,Agropecuario,15: Vida de ecosistemas terrerstres,Multilateral,WWF Colombia,,,
COL004,2016,Experiencias en prevención de violencia y procesos comunitarios entre Putumayo y Cesar,"Paz, seguridad pública, nacional y defensa","16: Paz, justicia e instituciones solidas",Colombia,Reconciliación Colombia,,,
COL005,2016,Experiencias exitosas en reparación integral a víctimas y reconciliación,"Paz, seguridad pública, nacional y defensa","16: Paz, justicia e instituciones solidas",Colombia,Reconciliación Colombia,,,
COL006,2016,Fortalecimiento del turismo comunitario en zonas de influencia de áreas protegidas del SIRAP Caribe: Oportunidades y desafíos frente al desarrollo rural sostenible y el posconflicto,Medioambiente,15: Vida de ecosistemas terrerstres,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID,,,
COL007,2016,"Fortalecimiento en asociatividad, emprendimiento y gerencia de microempresas rurales como herramientas efectivas que aportan a la construccion de paz, entre el territorio de aprendizaje Belén de Umbría (Risaralda) y alcaldes, líderes comunitarios y campesinos de Arauca, Cauca, Caquetá, Cesar, Córdoba, Guajira y Magdalena.",Empresas,10: Reducción de las desigualdades,Estados Unidos,USAID,,,
COL008,2016,PDP Magdalena Centro -REDCaquetáPaz,Fortalecimiento de instituciones y políticas publicas,10: Reducción de las desigualdades,España,Agencia Española de Cooperación Internacional para el desarrollo - AECID,,,
COL009,2016,Pesca artesanal y protección de recursos marino pesqueros,Pesca,14: Vida submarína,Estados Unidos,USAID,,,
COL010,2016,Fortalecimiento institucional de organizaciones orientadas al desarrollo económico local/ RED ADELCO,Fortalecimiento de instituciones y políticas publicas,"16: Paz, justicia e instituciones solidas",España,Agencia Española de Cooperación Internacional para el desarrollo - AECID,,,
COL011,2016,Programas de Desarrollo y Paz del Caribe Montes de María,"Paz, seguridad pública, nacional y defensa","16: Paz, justicia e instituciones solidas",España,Agencia Española de Cooperación Internacional para el desarrollo - AECID,,,
COL012,2016,Estrategias de educación para la convivencia y la paz e Incidencia Política HUIPAZ,"Paz, seguridad pública, nacional y defensa","16: Paz, justicia e instituciones solidas",España,Agencia Española de Cooperación Internacional para el desarrollo - AECID,,,
COL013,2016,Fortalecimiento de la empleabilidad juvenil en Urabá y Montelibano,Empleo,8: Trabajo decente y crecimiento económico,Estados Unidos,USAID,,,
COL014,2016,Promoción de la reintegración comunitaria en Arauca y Norte de Santander,"Paz, seguridad pública, nacional y defensa","16: Paz, justicia e instituciones solidas",Estados Unidos,USAID,,,
COL015,2016,Territorio de Aprendizaje Bélen de Umbria,Empleo,10: Reducción de las desigualdades,Estados Unidos,USAID,,,
COL016,2016,"Modelo de Reintegración Comunitaria y Mambrú no va a la guerra de la ACR, entre Cauca y Putumayo","Paz, seguridad pública, nacional y defensa","16: Paz, justicia e instituciones solidas",Estados Unidos,USAID,,,
