CODIGO,ETAPA,DEPARTAMENTO,MUNICIPIO
COL001,Unico encuentro,Santander,San Miguel
COL001,Unico encuentro,Putumayo,Puerto Guzmán
COL001,Unico encuentro,Putumayo,Puerto Asís
COL001,Unico encuentro,Putumayo,Villagarzón
COL001,Unico encuentro,Putumayo,Valle del Guamuez
COL001,Unico encuentro,Putumayo,Puerto Leguizamo
COL001,Unico encuentro,Norte de Santander,Tibú
COL001,Unico encuentro,Norte de Santander,Ragonvalia
COL001,Unico encuentro,Norte de Santander,El Carmen
COL001,Unico encuentro,Norte de Santander,Teorama
COL001,Unico encuentro,Norte de Santander,Pamplonita
COL001,Unico encuentro,Norte de Santander,Pamplona
COL001,Unico encuentro,Norte de Santander,Toledo
COL001,Unico encuentro,Meta,El Castillo
COL001,Unico encuentro,Meta,Vistahermosa
COL001,Unico encuentro,Meta,Villavicencio
COL001,Unico encuentro,Guaviare,El Retorno
COL001,Unico encuentro,Guaviare,San José del Guaviare
COL001,Unico encuentro,Bolívar,Calamar
COL002,Unico encuentro,Tolima,Ataco
COL002,Unico encuentro,Tolima,Planadas
COL002,Unico encuentro,Santander,San Miguel
COL002,Unico encuentro,Putumayo,Puerto Caicedo
COL002,Unico encuentro,Putumayo,Orito
COL002,Unico encuentro,Putumayo,Puerto Asís
COL002,Unico encuentro,Putumayo,Valle del Guamuez
COL002,Unico encuentro,Antioquia,Necoclí
COL003,Unico encuentro,Putumayo,Puerto Asís
COL003,Unico encuentro,Meta,San Juan de Arama
COL003,Unico encuentro,Meta,Puerto Lleras
COL003,Unico encuentro,Meta,Vista Hermosa
COL003,Unico encuentro,Antioquia,San Francisco
COL004,Unico encuentro,Cesar,La Paz
COL004,Unico encuentro,Putumayo,Puerto Asís
COL004,Unico encuentro,Cesar,Valledupar
COL005,Unico encuentro,Casanare,Chameza
COL005,Unico encuentro,Casanare,Recetor
COL005,Unico encuentro,Casanare,Yopal
COL005,Unico encuentro,Bolívar,El Carmen de Bolívar
COL005,Unico encuentro,Córdoba,San Carlos
COL006,Unico encuentro,Risaralda,Pereira
COL006,Unico encuentro,Magdalena,Santa Marta
COL006,Unico encuentro,La Guajira,Riohacha
COL006,Unico encuentro,La Guajira,Maicao
COL006,Unico encuentro,Cundinamarca,Guasca
COL006,Unico encuentro,Cundinamarca,Gachalá
COL006,Unico encuentro,Córdoba,Lorica
COL006,Unico encuentro,Córdoba,Purisima
COL006,Unico encuentro,Caldas,Manizales
COL006,Unico encuentro,Bolívar,Turbaco
COL006,Unico encuentro,Bolívar,Santa Catalina de Alejandría
COL007,Apertura,Risaralda,Belén de Umbría
COL007,Apertura,Norte de Santander,Teorama
COL007,Apertura,Norte de Santander,El Carmen
COL007,Apertura,Magdalena,Plato
COL007,Apertura,La Guajira,Hatonuevo
COL007,Apertura,Córdoba,Tierralta
COL007,Apertura,Córdoba,Sahagún
COL007,Apertura,Cauca,Jambaló
COL007,Apertura,Casanare,Villanueva
COL007,Apertura,Caquetá,El Paujil
COL007,Apertura,Arauca,Tame
COL007,Apertura,Arauca,Arauquita
COL007,Apertura,Arauca,Saravena
COL007,Apertura,Arauca,Fortul
COL007,Seguimiento/Cierre,Risaralda,Belén de Umbría
COL007,Seguimiento/Cierre,Arauca,Arauca
COL008,Unico encuentro,Tolima,Marquetalia
